filename,combo,precinct_num,precinct_name,party,governor_vote
Pre_024-Habersham North-0811.tif,024,01,Habersham North,Dem,Jason Esteves
Pre_024-Habersham North-0805.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-0187.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-0434.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2223.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-4487.tif,024,01,Habersham North,Dem,Geoff Duncan
Pre_024-Habersham North-2960.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1299.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2790.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2948.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-4493.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0839.tif,024,01,Habersham North,Rep,John F- Kennedy
Pre_024-Habersham North-2784.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0193.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-4478.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-1266.tif,024,01,Habersham North,Rep,David Clark
Pre_024-Habersham North-0178.tif,024,01,Habersham North,Rep,Greg Dolezal
Pre_024-Habersham North-2009.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-3317.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3471.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-1514.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3303.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1272.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-1500.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2753.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0144.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-3465.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2035.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-4444.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2021.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0636.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-4450.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1528.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-4336.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3459.tif,024,01,Habersham North,Rep,BLANK CONTEST
Pre_024-Habersham North-2800.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2747.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0971.tif,024,01,Habersham North,Rep,Greg Dolezal
Pre_024-Habersham North-0965.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-2814.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-4295.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2182.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3288.tif,024,01,Habersham North,Dem,Geoff Duncan
Pre_024-Habersham North-0781.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0959.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-4281.tif,024,01,Habersham North,Dem,Jason Esteves
Pre_024-Habersham North-3505.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-1312.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-2828.tif,024,01,Habersham North,Rep,Chris Carr
