snapshot_time_et,snapshot_date,source_layer,ObjectID,GlobalID,EditDate,precinct_name,precinct_location_name,precinct_address,precinct_open_closed,wait_current,lon,lat
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,55,d8e6957d-5809-428d-b3be-eb8bdcfe148d,1779195570478,11J & 11M & 11M1 & 11R,Junction 2800 ,"2800 Campbellton Road  , Atlanta, GA 30311",Open,3.0,-84.479968,33.699676999999994
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,56,1ffe111a-c457-44c8-8a05-a132efce8faf,1779195779326,12A & 12A1& 12D & 12G,Metropolitan Library,"1332 Metropolitan Parkway , Atlanta, GA 30310",Open,2.0,-84.40739,33.718792
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,57,1198e042-62a0-4ebc-bd45-aed3bcaf1857,1779195640267,12E.1 & 12J & 12M,Rosel Fann Recreation Center,"365 Cleveland Avenue , Atlanta, GA 30354",Open,,-84.37899199999998,33.679536999999996
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,58,f2cd1ce0-386e-45ab-a16d-e7dcfe0b326b,1779193279117,12F & 12H1 & 12H2,John Birdine Neighborhood Center,"215 Lakewood Way SW , Atlanta, GA 30315",Open,0.0,-84.39677299999998,33.70081799999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,59,266874cf-38e1-4123-80ba-4c76ff2eeeea,1776445444116,AP01A & AP05 & AP12A/B,Fulton County Health & Human Services North ,"4700 Northpoint Pkwy  , Alpharetta, GA 30022",Open,0.0,-84.268593,34.055913
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,60,9393bfe5-ac42-460b-849f-e83e18f61b4f,1776445444116,AP01B & AP07A & AP10 & AP12C,Alpharetta Library,"10 Park Plaza , Alpharetta, GA  30009",Open,0.0,-84.292321,34.074015
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,61,16f3c9da-6949-40d4-96f7-84ed1125c5bb,1779193700162,AP01C/D & JC16,Prince of Peace Lutheran Church,"10250 Haynes Bridge Road , Alpharetta, GA 30022",Open,0.0,-84.27047,34.02906699999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,62,3114ce1e-ad33-4d1e-b2b5-e067d433bfc9,1776445464358,AP021 & AP022 & & AP023 & AP02B & AP07C,Wills Park Recreation Center,"11925 Wills Road  , Alpharetta, GA  30009",Open,0.0,-84.31085200000001,34.071393
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,63,85aa19da-a183-4431-a99e-c13a87e36890,1779195220307,AP03 & RW05 & RW05A,Fulton County Customer Service Center at Maxwell Road,"11575 Maxwell Road , Alpharetta, GA  30009",Open,0.0,-84.301583,34.06307299999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,64,57673ff1-e442-42fc-8d42-3bb779e1f45d,1779195640267,AP04A/B & AP06,Alpharetta Crabapple Gov Center,"12624 Broadwell Road , Alpharetta, GA  30004",Open,0.0,-84.339931,34.089218999999986
